leftV1,rightV1,compass_dataX,compass_dataY,compass_dataZ,gyro_dataX,gyro_dataY,gyro_dataZ,lidar_F_data,lidar_R_data,positionX,positionY,positionZ,angleX,angleY,angleZ,angleangle,velocityX,velocityY,velocityZ,gyro2_dataX,gyro2_dataY,gyro2_dataZ
0.990990990990991,0.990990990990991,1.01039752123791,-5.37970479473503e-07,-4.11906328164531e-05,0.0206800616022448,3.77558939248378e-06,-0.000890225221687251,2092.21623030796,1922.92775601201,6.79352858601488e-09,0.0349798035632532,0.00243749769081193,0.994290346807262,0.106699477047139,-0.00138846813453748,-0.000402253140053411,2.07905232145101e-05,0.000800428202874034,0.0251655228515142,0.0214590597406641,3.82142712851419e-06,-0.000874022070327385
0.995995995995996,0.995995995995996,1.04464252379318,1.30704189291001e-07,-4.08535704707932e-05,0.0217801293346566,3.61485854944843e-06,-0.000661476992734523,1895.97440292816,1820.5021540641,2.95463728270975e-08,0.0349808407450535,0.00246297844328429,0.993657317941331,0.112450127760736,0.000321353752265227,-0.000381650745554486,1.59811192014939e-05,0.000772446406549114,0.025273247773873,0.0207263432876488,3.65507362687367e-06,-0.00068160463386846
1.001001001001,1.001001001001,0.995399306308288,6.30361869973709e-07,-4.4680530438056e-05,0.0206324797112693,3.33996608111837e-06,-0.000538709209011503,1926.60412685467,1972.27816150596,4.69046164451007e-08,0.0349818426778464,0.00248856067295716,0.992937658018393,0.118623698027416,0.00179598308726879,-0.000361759642911976,1.21278249847807e-05,0.0007461561934105,0.0253817386896859,0.0200252723036698,3.50967934537039e-06,-0.000527498351580391
1.00600600600601,1.00600600600601,0.971285052204565,1.0453271115911e-06,-4.15455159954899e-05,0.021619827409007,3.32634853903562e-06,-0.000414025137328377,1988.78553397723,1753.06339386497,5.99466180895291e-08,0.0349828117937267,0.00251424603935854,0.992117594407588,0.125272578698539,0.0030756939248303,-0.000342532772937082,9.0443181014579e-06,0.000721687489482576,0.025491411353384,0.0193719732356215,3.38175173908439e-06,-0.00040422682346275
1.01101101101101,1.01101101101101,0.979957017358457,1.31323786598981e-06,-4.04195099063291e-05,0.0185169587699654,3.00771402288141e-06,-0.000320739199197853,1905.66767596531,1929.81922489866,6.95345499903945e-08,0.0349837499864031,0.00254003583843573,0.991180099395267,0.132455339463082,0.00419447380583506,-0.000323933779619617,6.57626613911947e-06,0.000698634507844042,0.025602006030396,0.0187560682561383,3.26679526096996e-06,-0.000305607644435213
1.01601601601602,1.01601601601602,1.07192141547505,1.64396868437227e-06,-4.26347268398749e-05,0.0183006093755666,3.24189932537121e-06,-0.000221177268913592,1910.54679280078,1943.16579161412,7.63576503471601e-08,0.034984658695946,0.00256593105082281,0.990104335965053,0.140237518599457,0.00518095360616245,-0.000305935576539109,4.60021371555001e-06,0.000676658435867446,0.0257132973451805,0.0181685701612793,3.16135235323145e-06,-0.000226695547596023
1.02102102102102,1.02102102102102,0.964317453315378,1.56445193261721e-06,-4.35674500354831e-05,0.0178332346457065,2.93626737266934e-06,-0.000177247499740327,1794.39959764776,1889.27712388757,8.09669100690724e-08,0.0349855389993636,0.00259193240449769,0.988864877295024,0.148692771412952,0.00605922287368692,-0.000288518544630526,3.01746901031612e-06,0.000655488159503339,0.0258251046647977,0.017602282116485,3.06279839890067e-06,-0.000163537275852832
1.02602602602603,1.02602602602603,1.04952041057408,1.71647543283558e-06,-4.37716605785825e-05,0.0162541599526893,2.85375169062073e-06,-0.000124044059492361,2032.64048642007,1893.04593408302,8.38028035092522e-08,0.034986391683601,0.00261804042551235,0.987430683766676,0.157904175694441,0.00684952949729262,-0.000271669090935259,1.74913742628938e-06,0.000634907046616553,0.0259372835840538,0.0170514565900817,2.96914146247218e-06,-0.000112972623831809
1.03103103103103,1.03103103103103,1.02384581932205,1.89914758746315e-06,-3.81932112761085e-05,0.0169844076947375,2.80081571748435e-06,-7.57120784085333e-05,1901.62609696265,1975.85654018722,8.5217456830946e-08,0.0349872173038494,0.00264425547850381,0.985763783627772,0.167965696140545,0.00756887097794241,-0.000255378515062765,7.32150328516071e-07,0.000614741986527462,0.0260497186269919,0.0165115034006789,2.87887040428814e-06,-7.24753468830386e-05
1.03603603603604,1.03603603603604,0.989163364888827,2.0328458676925e-06,-4.09519649727087e-05,0.0174565573148361,2.78278302231789e-06,-3.82966910265971e-05,1905.70419690707,1924.68275113711,8.54923697091745e-08,0.0349880162301045,0.00267057779902781,0.9838175842686,0.178983808010878,0.00823148551733098,-0.000239642122744557,-8.39095876577032e-08,0.00059485462538521,0.0261623174068388,0.0159787561196083,2.79083896259635e-06,-4.00259843118533e-05
1.04104104104104,1.04104104104104,1.02746683941005,1.95315614651357e-06,-4.54319834114349e-05,0.0147498829353875,2.73133820110532e-06,-1.30222119088305e-05,2063.0894109583,2017.23251436213,8.4852582293321e-08,0.034988788684344,0.00269700751936552,0.981534719440298,0.191079264440426,0.00884925048586667,-0.000224458538252395,-7.39346105074685e-07,0.000575134366667289,0.0262750059645258,0.0154502856175611,2.70417839942638e-06,-1.40101952013083e-05
1.04604604604605,1.04604604604605,0.997857223882405,2.0001037290107e-06,-4.23690032116197e-05,0.0159479834067434,2.64738270799219e-06,6.73372013500778e-06,1991.51776249178,1885.85830213522,8.34780004571226e-08,0.0349895347702132,0.00272354468912079,0.978844312927162,0.204388963833918,0.00943199411837773,-0.000209829177683763,-1.26637821182367e-06,0.000555492781631506,0.0263877250482693,0.0149237512547415,2.61823069536149e-06,6.86251159720541e-06
1.05105105105105,1.05105105105105,0.992878098579982,1.94347610045363e-06,-4.71362959141649e-05,0.0154126358449503,2.46561998827676e-06,2.41338400988511e-05,1973.51276125418,1846.04816156875,8.1512449349561e-08,0.0349902544967301,0.00275018929165967,0.97565851221944,0.219067827185896,0.00998772375461959,-0.00019575785304162,-1.69076186573964e-06,0.000535859145667979,0.0265004271442349,0.014397282114615,2.53249802995015e-06,2.36237439992237e-05
1.05605605605606,1.05605605605606,1.07690686732973,1.99763667878595e-06,-4.43776383253179e-05,0.013913414789379,2.51120077915478e-06,3.82688506677954e-05,1781.03467734653,1983.08179613479,7.90709108983908e-08,0.0349909477972145,0.00277694125723155,0.97186811989026,0.235290520076149,0.0105227707029568,-0.000182250482969004,-2.03308645780388e-06,0.000516176873792552,0.0266130741066935,0.0138693822171092,2.44660414239206e-06,3.70981605044562e-05
