(0.10044362114992302, 0.09838971421646442)
(0.09938948951556928, 0.10080010598423103)
(0.09853933394563744, 0.09812496130937905)
(0.09713992995768733, 0.1013737316355679)
(0.0999882676845036, 0.09820228110574793)
(0.09935316030831726, 0.1000209737083839)
(0.10190389558636949, 0.08407609407438663)
(0.10021216831511913, 0.10200674297173222)
(0.0975144867744141, 0.0850820609859772)
(0.10254689195787851, 0.09960239045895304)
(0.09959627468822894, 0.0722395605419305)
(0.1003291816552852, 0.10110698023894753)
(0.0978490518688953, 0.10006933992371801)
(0.09820059465977374, 0.10116308615990653)
(0.10066366907549266, 0.10054165489653966)
(0.09837595846454239, 0.10081726877745992)
(0.09922688931138102, 0.09841128272027613)
(0.10021432751752814, 0.09937068365393073)
(0.09496650811782884, 0.1178431017271208)
(0.10475645249067388, 0.12472615269764245)
(0.09722210591342342, 0.11485903404695255)
(0.10253352564916732, 0.1034819082893287)
(0.09926604452078196, 0.1011442575640271)
(0.1021291522445397, 0.10258478623230635)
(0.09705691854836897, 0.09992055837294452)
(0.09746304206556984, 0.09874350958011148)
(0.0995542768364825, 0.09636731037014443)
(0.10056844302791905, 0.09622020085752205)
(0.09898992146104775, 0.09884384857892993)
(0.09930221830540066, 0.09886209545920793)
(0.0966748782272852, 0.08141480350532254)
(0.09853309110610449, 0.08062029243983498)
(0.09803704254989831, 0.08006562514641045)
(0.09892598381423273, 0.08008064949021335)
(0.0943758533991021, 0.10387487558840924)
(0.09898652131677313, 0.09892742103544444)
