leftV1,rightV1,compass_dataX,compass_dataY,compass_dataZ,gyro_dataX,gyro_dataY,gyro_dataZ,lidar_F_data,lidar_R_data,positionX,positionY,positionZ,angleX,angleY,angleZ,angleangle,velocityX,velocityY,velocityZ,gyro2_dataX,gyro2_dataY,gyro2_dataZ
-8.08808808808809,0,0.614008953111562,0.000182519688072509,-0.767553499998976,-0.0367567355047357,-2.47558447190139,0.0356879134369254,2409.54895000824,2637.09124631883,0.0167616609917729,0.0349811814990644,-0.0355058205176641,0.00043019767156209,0.999999906554729,4.26672706130019e-05,-0.903980838020368,0.0612841088972888,-0.00108308429830756,-0.0865208603117718,-0.0358132044328201,-2.25219231547756,0.0335295710699484
-8.0980980980981,0,0.628298377188903,0.000207743782806585,-0.77954306748496,0.111137209812061,-2.23706774758272,-0.133058092149931,2389.88413922208,2713.51151131465,0.0168401056424616,0.0349870161540453,-0.0355639749851849,0.000249029241587378,0.999999961247138,0.000124459464950569,-0.906228968905083,0.0607574291736113,0.00442210704499773,-0.0824689484440736,0.110446696034643,-2.24815829529467,-0.133794823138125
-8.10810810810811,0,0.652691151389478,0.000187839603857712,-0.757870112548971,0.0568483805038682,-2.15285027933538,-0.0626637449055759,2284.90437979101,2563.35114200013,0.01691891630817,0.0349900459357502,-0.0356240971453787,0.000154635798506819,0.999999974514835,0.00016449346467328,-0.908474092974287,0.0611974917264768,0.0022832575247946,-0.0836076455151261,0.0585375255992631,-2.24512705250284,-0.0681288554731836
-8.11811811811812,0,0.586437470340516,0.00018278294601947,-0.816881647134396,0.0421333116466602,-2.3446038251228,-0.0406766264722195,2513.24781352462,2463.42591909981,0.0169980131925555,0.0349920983896546,-0.0356851260969451,9.09846570194742e-05,0.999999977492521,0.000191668330180569,-0.910721800427983,0.0614991997265606,0.00155107187381933,-0.0842910533158395,0.0394733221349384,-2.24770503466396,-0.0464135357415785
-8.12812812812813,0,0.636437868457684,0.00018188907986462,-0.868198405995184,0.0214214225648341,-2.47035757561605,-0.0251559076628909,2531.7647991421,2420.75646163758,0.0170774643574668,0.0349932302867721,-0.0357469849561486,5.62996779689403e-05,0.999999977099293,0.000206474597882026,-0.912974144977835,0.061855082668772,0.00086085961208668,-0.0849323901141922,0.0215167673178343,-2.25234204048089,-0.0256026098090629
-8.13813813813814,0,0.607981920208804,0.000172602043776131,-0.723939616839224,0.00371568736218342,-2.31561723174254,-0.00506709446882575,2349.36949428216,2503.33238927438,0.0171573517506642,0.0349934546886944,-0.0358092258723207,5.01463739029184e-05,0.999999976844366,0.000209276391049361,-0.91523327286221,0.0622743642196647,0.000181796349934924,-0.0851507514102328,0.00366198358889847,-2.25912803497605,-0.00508538835739358
-8.14814814814815,0,0.593896627072588,0.000182995501852434,-0.803522694120285,-0.0934508508827647,-2.13609295855721,0.106566211228521,2598.58908330748,2687.5924809284,0.0172365533824881,0.034988868278855,-0.0358747278440701,0.0001956629872367,0.999999969655048,0.000149685998889018,-0.917464350760905,0.0617588060304925,-0.00340370553887219,-0.0867160332185003,-0.092408441836028,-2.23108615090269,0.103815216204211
-8.15815815815816,0,0.578641282681702,0.000177368207797453,-0.792055897309174,-0.0187231238867946,-2.30692100398359,0.0182377040495794,2487.02790954134,2502.65550550634,0.0173172911959476,0.0349880113271126,-0.0359376326665862,0.000222736090656702,0.999999965464223,0.00013949977593832,-0.919736530592726,0.0630973654148752,-0.000626282086907014,-0.085707454691137,-0.0179879189582621,-2.27217978148925,0.0184085263406075
-8.16816816816817,0,0.644614041052657,0.000208911429339635,-0.755490117924167,-0.0375061542239691,-2.21511843324318,0.0422683999170196,2584.86003621248,2363.00305467921,0.0173984548900496,0.0349862009608347,-0.0360009885463662,0.000279571760503285,0.999999954133823,0.000116498854952556,-0.922015076850097,0.0635102077973222,-0.00134108359677673,-0.0859737984046363,-0.0367384633331156,-2.27854328573537,0.0404631953229426
-8.17817817817818,0,0.621317880087849,0.000222102062204439,-0.802687587115522,-0.057883111737588,-2.0276622290772,0.0592584682009198,2400.02436083383,2624.1181516371,0.0174800759850659,0.0349833803394601,-0.0360648332694674,0.000367955092194143,0.999999929025103,8.09866549107349e-05,-0.924299772629552,0.0639461802290002,-0.00209226474597758,-0.0862609241713433,-0.0571388875514742,-2.28468464042255,0.0631569573802437
-8.18818818818819,0,0.609050279395812,0.000213003303909515,-0.780361016344335,-0.0745144467635019,-2.35656481943407,0.0830772775714308,2103.86104567309,2573.92297138372,0.0175621628646669,0.0349795715341343,-0.0361291593086351,0.000487287842218071,0.999999880710947,3.35953895065518e-05,-0.926590456352582,0.0643884604362325,-0.00282340200739863,-0.0865443848521493,-0.0774267882932023,-2.29065671366007,0.085285686451158
-8.1981981981982,0,0.591852198129246,0.000217665898425934,-0.794964867673759,0.127751710637336,-2.36301298013199,-0.157754481521255,2324.94202454056,2525.17874786922,0.0176432270818649,0.0349869494179727,-0.0361851803704055,0.000283066705411664,0.999999949783447,0.000142500330984792,-0.928868432239994,0.0635590156480954,0.00585599069594357,-0.0813685740120562,0.118953016906275,-2.27800797527966,-0.169112280138378
-8.20820820820821,0,0.603240644993044,0.000134520319918036,-0.839014120779223,0.173284602020533,-2.47496558513615,-0.071415577038064,2304.72406427329,2421.96163351761,0.0177214853117666,0.0349900449169433,-0.0362423587092481,7.6419145937136e-05,0.999999988818021,0.000128545992926531,-0.931145686517454,0.0618132515765806,0.000914579856817059,-0.0820912747324298,0.170856500205389,-2.27727623828518,-0.0722301950131481
-8.21821821821822,0,0.645395039189423,0.000139344433633676,-0.809020481090847,0.0321577689048868,-2.31207767549697,-0.048308509115148,2385.29819938916,2738.37106179962,0.0178027933590681,0.0349923090770976,-0.0363026070791425,2.12263050960698e-05,0.999999986557445,0.000162587064508101,-0.933427207777796,0.0638916211233588,0.0018781302338984,-0.0842251367590456,0.0304550541044648,-2.28151649041765,-0.0499645030651195
-8.22822822822823,0,0.624059395892226,0.000140440779075689,-0.855526787013236,0.0136878218367094,-2.25740481465019,-0.0275454643669365,2422.55770546167,2313.56665831347,0.0178848621868816,0.0349936119029261,-0.0363635681030126,-6.16315083887276e-06,0.99999998300066,0.000184284280055737,-0.935706761502979,0.0647081121152564,0.00113817602144678,-0.0846853991177517,0.0132078891658409,-2.27954982286104,-0.0289628868723497
